type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,[2010.       7.      30.      21.      20.      14.843],4,B0045,73,258,00258.csv,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0045,74,259,00259.csv,0.6941108278958860,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0045,75,260,00260.csv,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0045,76,261,00261.csv,0.6914114388869610,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0045,77,262,00262.csv,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0045,78,263,00263.csv,0.6971551798505500,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0045,79,264,00264.csv,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0045,80,265,00265.csv,0.6832460217432720,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0045,81,266,00266.csv,,0.07557825218769970,0.2381588363945260
charge,[2010.       7.      31.      15.      27.      42.562],4,B0045,82,267,00267.csv,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0045,83,268,00268.csv,,0.0694793009922898,0.22331633781203600
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0045,84,269,00269.csv,0.6822029317493290,,
impedance,[2010.       8.       3.      17.      20.      28.062],24,B0045,85,270,00270.csv,,0.07514815569756750,0.23805857497858100
charge,[2010.       8.       3.      17.      52.      22.375],4,B0045,86,271,00271.csv,,,
impedance,[2010.       8.       3.      20.      57.      49.484],24,B0045,87,272,00272.csv,,0.06953400672173230,0.22353689737938600
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0045,88,273,00273.csv,0.7289529213213380,,
charge,[2010.       8.       3.      22.      54.      43.062],4,B0045,89,274,00274.csv,,,
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0045,90,275,00275.csv,0.7139321758287000,,
charge,[2010.      8.      4.      3.     19.     23.25],4,B0045,91,276,00276.csv,,,
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0045,92,277,00277.csv,0.6957731747455480,,
charge,[2010.       8.       4.       7.      43.      19.828],4,B0045,93,278,00278.csv,,,
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0045,94,279,00279.csv,0.7018312962317100,,
charge,[2010.       8.       4.      12.       6.      28.531],4,B0045,95,280,00280.csv,,,
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0045,96,281,00281.csv,0.6911808244378490,,
impedance,[2010.       8.       4.      16.      32.      38.906],24,B0045,97,282,00282.csv,,0.07784268933035370,0.25487499179135800
charge,[2010.       8.       4.      17.       4.      33.625],4,B0045,98,283,00283.csv,,,
impedance,[2010.       8.       4.      20.      10.       4.812],24,B0045,99,284,00284.csv,,0.07028850528402690,0.22476954143458300
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0045,100,285,00285.csv,0.6843279752855030,,
charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0045,101,286,00286.csv,,,
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0045,102,287,00287.csv,0.6741394908812490,,
charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0045,103,288,00288.csv,,,
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0045,104,289,00289.csv,0.6670070174301740,,
charge,[2010.       8.       5.       6.      44.       4.281],4,B0045,105,290,00290.csv,,,
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0045,106,291,00291.csv,0.6804085117374860,,
charge,[2010.       8.       5.      11.       4.      13.765],4,B0045,107,292,00292.csv,,,
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0045,108,293,00293.csv,0.6617864063235490,,
impedance,[2010.       8.       5.      15.      27.      47.125],24,B0045,109,294,00294.csv,,0.07665661819286430,0.2524318071765450
charge,[2010.       8.       5.      15.      59.      42.062],4,B0045,110,295,00295.csv,,,
impedance,[2010.       8.       5.      19.       5.      13.171],24,B0045,111,296,00296.csv,,0.07265624639199960,0.21751930365478900
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0045,112,297,00297.csv,0.6623168733492340,,
charge,[2010.       8.       5.      20.      54.      47.218],4,B0045,113,298,00298.csv,,,
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0045,114,299,00299.csv,0.6679358357181780,,
charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0045,115,300,00300.csv,,,
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0045,116,301,00301.csv,0.6488990885270690,,
charge,[2010.       8.       6.       5.      31.      48.156],4,B0045,117,302,00302.csv,,,
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0045,118,303,00303.csv,0.6503639129625530,,
charge,[2010.       8.       6.       9.      49.      49.937],4,B0045,119,304,00304.csv,,,
discharge,[2010    8    6   12   51   21],4,B0045,120,305,00305.csv,0.6572077690202800,,
impedance,[2010.       8.       6.      14.      11.      12.234],24,B0045,121,306,00306.csv,,0.07666311141532820,0.268866501378989
charge,[2010.       8.       6.      14.      43.       7.578],4,B0045,122,307,00307.csv,,,
impedance,[2010.       8.       6.      17.      48.      41.937],24,B0045,123,308,00308.csv,,0.07168773446374990,0.24943260069581300
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0045,124,309,00309.csv,0.6363517458476220,,
charge,[2010.       8.       6.      19.      36.      20.187],4,B0045,125,310,00310.csv,,,
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0045,126,311,00311.csv,0.6536449360948590,,
charge,[2010.      8.      6.     23.     53.     10.89],4,B0045,127,312,00312.csv,,,
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0045,128,313,00313.csv,0.6391428272150890,,
charge,[2010.       8.       7.       4.       9.      31.812],4,B0045,129,314,00314.csv,,,
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0045,130,315,00315.csv,0.6482206049496240,,
charge,[2010.       8.       7.       8.      25.      18.796],4,B0045,131,316,00316.csv,,,
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0045,132,317,00317.csv,0.6287957471922730,,
impedance,[2010.       8.       7.      12.      32.      26.234],24,B0045,133,318,00318.csv,,0.07651043534404250,0.2518232270228340
charge,[2010.       8.       7.      13.       4.      21.953],4,B0045,134,319,00319.csv,,,
impedance,[2010.      8.      7.     16.      9.     53.89],24,B0045,135,320,00320.csv,,0.0716378959549494,0.24356737218825500
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0045,136,321,00321.csv,0.6380571850193400,,
impedance,[2010.       8.      10.      17.       4.      18.343],24,B0045,137,322,00322.csv,,0.07903440492836380,0.2539874762415780
charge,[2010.       8.      10.      17.      36.      14.109],4,B0045,138,323,00323.csv,,,
impedance,[2010.       8.      10.      20.      41.      53.921],24,B0045,139,324,00324.csv,,0.07309229911598120,0.24055566004243200
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0045,140,325,00325.csv,0.6554825047832910,,
charge,[2010.       8.      10.      22.      33.      31.875],4,B0045,141,326,00326.csv,,,
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0045,142,327,00327.csv,0.6484934835397030,,
charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0045,143,328,00328.csv,,,
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0045,144,329,00329.csv,0.6454071687844920,,
charge,[2010.       8.      11.       7.      12.      27.125],4,B0045,145,330,00330.csv,,,
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0045,146,331,00331.csv,0.6427008031845650,,
charge,[2010.       8.      11.      11.      31.      14.703],4,B0045,147,332,00332.csv,,,
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0045,148,333,00333.csv,0.6352454880802480,,
impedance,[2010.     8.    11.    15.    53.    17.5],24,B0045,149,334,00334.csv,,0.07819962577575240,0.26027617128815600
charge,[2010.       8.      11.      16.      25.      13.593],4,B0045,150,335,00335.csv,,,
impedance,[2010.       8.      11.      19.      30.      44.109],24,B0045,151,336,00336.csv,,0.07196197013376010,0.23710627029582000
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0045,152,337,00337.csv,0.6156760019587870,,
impedance,[2010    8   12   13   55   19],24,B0045,153,338,00338.csv,,0.07678814571035390,0.2441680163515990
charge,[2010.      8.     12.     14.     27.     15.14],4,B0045,154,339,00339.csv,,,
impedance,[2010.       8.      12.      17.      32.      50.875],24,B0045,155,340,00340.csv,,0.07339044256832130,0.2523682559402180
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0045,156,341,00341.csv,0.6170833682807020,,
charge,[2010.       8.      12.      19.      22.      39.406],4,B0045,157,342,00342.csv,,,
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0045,158,343,00343.csv,0.6434227390858670,,
charge,[2010.       8.      12.      23.      40.      56.125],4,B0045,159,344,00344.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0045,160,345,00345.csv,0.6278124433742750,,
charge,[2010.       8.      13.       3.      58.       7.187],4,B0045,161,346,00346.csv,,,
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0045,162,347,00347.csv,0.6290078315253370,,
charge,[2010.       8.      13.       8.      14.      54.843],4,B0045,163,348,00348.csv,,,
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0045,164,349,00349.csv,0,,
impedance,[2010.       8.      13.      11.      55.      20.859],24,B0045,165,350,00350.csv,,0.07710168771896370,0.23380874578902600
charge,[2010.       8.      13.      12.      27.      18.593],4,B0045,166,351,00351.csv,,,
impedance,[2010.       8.      13.      15.      32.      55.359],24,B0045,167,352,00352.csv,,0.07391032139929390,0.2501676896592770
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0045,168,353,00353.csv,0.6266355568292260,,
impedance,[2010.       8.      16.      12.      24.      17.453],24,B0045,169,354,00354.csv,,0.07644354445879680,0.256447267226129
charge,[2010.       8.      16.      12.      56.      14.546],4,B0045,170,355,00355.csv,,,
impedance,[2.0100e+03 8.0000e+00 1.6000e+01 1.6000e+01 1.0000e+00 5.2046e+01],24,B0045,171,356,00356.csv,,0.07303308844921160,0.23387459182998500
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0045,172,357,00357.csv,0.6495813516716590,,
charge,[2010.       8.      16.      17.      53.      19.203],4,B0045,173,358,00358.csv,,,
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0045,174,359,00359.csv,0.6337485177966310,,
charge,[2010.       8.      16.      22.      13.       2.812],4,B0045,175,360,00360.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0045,176,361,00361.csv,0.6298550929085650,,
charge,[2010    8   17    2   32   20],4,B0045,177,362,00362.csv,,,
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0045,178,363,00363.csv,0.6183063778386740,,
charge,[2010.       8.      17.       6.      50.      25.203],4,B0045,179,364,00364.csv,,,
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0045,180,365,00365.csv,0.6069476168507780,,
impedance,[2.010e+03 8.000e+00 1.700e+01 1.100e+01 1.200e+01 1.125e+00],24,B0045,181,366,00366.csv,,0.07792709011808390,0.2528231787923870
charge,[2010.       8.      17.      11.      43.      58.265],4,B0045,182,367,00367.csv,,,
impedance,[2010.       8.      17.      14.      49.      38.671],24,B0045,183,368,00368.csv,,0.07391035231000710,0.23877946759746100
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0048,0,369,00369.csv,1.6579955793677600,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0048,1,370,00370.csv,,0.07799077882418360,0.23974893898915900
charge,[2010.       7.      21.      17.      25.      40.671],4,B0048,2,371,00371.csv,,,
impedance,[2010    7   21   20   31    5],24,B0048,3,372,00372.csv,,0.07486242670723000,0.21184412901313700
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0048,4,373,00373.csv,1.5076933476098800,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0048,5,374,00374.csv,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0048,6,375,00375.csv,1.4989223343608000,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0048,7,376,00376.csv,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0048,8,377,00377.csv,1.4782919502497800,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0048,9,378,00378.csv,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0048,10,379,00379.csv,1.461856891390610,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0048,11,380,00380.csv,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0048,12,381,00381.csv,1.4509592706473500,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0048,13,382,00382.csv,,0.07857734995287660,0.229261520633249
charge,[2010.       7.      22.      17.      34.      59.312],4,B0048,14,383,00383.csv,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0048,15,384,00384.csv,,0.07489643913902910,0.19798822090855800
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0048,16,385,00385.csv,1.451746997147110,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0048,17,386,00386.csv,,0.07921442518696750,0.22345095607046200
charge,[2010.      7.     23.     12.      7.     29.25],4,B0048,18,387,00387.csv,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0048,19,388,00388.csv,,0.0757692694613932,0.2089565660584670
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0048,20,389,00389.csv,1.444392866287480,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0048,21,390,00390.csv,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0048,22,391,00391.csv,1.432738323965380,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0048,23,392,00392.csv,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0048,24,393,00393.csv,1.417241201438660,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0048,25,394,00394.csv,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0048,26,395,00395.csv,1.4057559944573500,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0048,27,396,00396.csv,,,
discharge,[2010    7   24    9   56   39],4,B0048,28,397,00397.csv,1.3902706269897100,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0048,29,398,00398.csv,,0.08000205531297790,0.23229414101827100
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0048,30,399,00399.csv,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0048,31,400,00400.csv,,0.0753322025051574,0.19519769256846700
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0048,32,401,00401.csv,1.4196659307880300,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0048,33,402,00402.csv,,0.0818843773490264,0.23100483852381900
charge,[2010.       7.      27.      18.      19.       3.281],4,B0048,34,403,00403.csv,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0048,35,404,00404.csv,,0.07641471458894620,0.19470711834781700
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0048,36,405,00405.csv,1.4190563985232300,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0048,37,406,00406.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0048,38,407,00407.csv,1.404272356704060,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0048,39,408,00408.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0048,40,409,00409.csv,1.3916140490958300,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0048,41,410,00410.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0048,42,411,00411.csv,1.3749618350294700,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0048,43,412,00412.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0048,44,413,00413.csv,1.3545155713071200,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0048,45,414,00414.csv,,0.08219047870872120,0.24072826115845600
charge,[2010.       7.      28.      18.       7.      53.906],4,B0048,46,415,00415.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0048,47,416,00416.csv,,0.07694896787681790,0.2163753560854460
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0048,48,417,00417.csv,1.3440223073316000,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0048,49,418,00418.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0048,50,419,00419.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0048,51,420,00420.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0048,52,421,00421.csv,1.372384475860570,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0048,53,422,00422.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0048,54,423,00423.csv,1.3184105752674400,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0048,55,424,00424.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0048,56,425,00425.csv,1.3112727599578600,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0048,57,426,00426.csv,,0.0821552417870071,0.22728873932665600
charge,[2010.       7.      29.      16.      59.      23.625],4,B0048,58,427,00427.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0048,59,428,00428.csv,,0.08120105386377150,0.21123784616824600
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0048,60,429,00429.csv,1.2970172419001200,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0048,61,430,00430.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0048,62,431,00431.csv,1.2995219526631700,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0048,63,432,00432.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0048,64,433,00433.csv,1.2826154066729600,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0048,65,434,00434.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0048,66,435,00435.csv,1.2752890152407,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0048,67,436,00436.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0048,68,437,00437.csv,1.2735572473264100,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0048,69,438,00438.csv,,0.08137007548326780,0.2462524937882740
charge,[2010    7   30   16   20    6],4,B0048,70,439,00439.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0048,71,440,00440.csv,,0.07886956638985700,0.21370829074200300
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0048,72,441,00441.csv,1.2594114333938500,,
charge,[2010.       7.      30.      21.      20.      14.843],4,B0048,73,442,00442.csv,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0048,74,443,00443.csv,1.2631632585495900,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0048,75,444,00444.csv,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0048,76,445,00445.csv,1.2491717310136400,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0048,77,446,00446.csv,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0048,78,447,00447.csv,1.233984347835310,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0048,79,448,00448.csv,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0048,80,449,00449.csv,1.240031992028870,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0048,81,450,00450.csv,,0.08225194664630600,0.24297878659653400
charge,[2010.       7.      31.      15.      27.      42.562],4,B0048,82,451,00451.csv,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0048,83,452,00452.csv,,0.0799826707857191,0.2047737934078980
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0048,84,453,00453.csv,1.30370857198071,,
impedance,[2010.       8.       3.      17.      20.      28.062],24,B0048,85,454,00454.csv,,0.08086061563466030,0.23879470834549800
charge,[2010.       8.       3.      17.      52.      22.375],4,B0048,86,455,00455.csv,,,
impedance,[2010.       8.       3.      20.      57.      49.484],24,B0048,87,456,00456.csv,,0.07883278236642740,0.2102307097728050
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0048,88,457,00457.csv,1.315055963470540,,
charge,[2010.       8.       3.      22.      54.      43.062],4,B0048,89,458,00458.csv,,,
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0048,90,459,00459.csv,1.2888738300982100,,
charge,[2010.      8.      4.      3.     19.     23.25],4,B0048,91,460,00460.csv,,,
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0048,92,461,00461.csv,1.2877137595885200,,
charge,[2010.       8.       4.       7.      43.      19.828],4,B0048,93,462,00462.csv,,,
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0048,94,463,00463.csv,1.2673379985315500,,
charge,[2010.       8.       4.      12.       6.      28.531],4,B0048,95,464,00464.csv,,,
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0048,96,465,00465.csv,1.250594345697310,,
impedance,[2010.       8.       4.      16.      32.      38.906],24,B0048,97,466,00466.csv,,0.08359248201820700,0.25467582471630500
charge,[2010.       8.       4.      17.       4.      33.625],4,B0048,98,467,00467.csv,,,
impedance,[2010.       8.       4.      20.      10.       4.812],24,B0048,99,468,00468.csv,,0.07860661634486580,0.21549822256470700
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0048,100,469,00469.csv,1.2487131179395900,,
charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0048,101,470,00470.csv,,,
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0048,102,471,00471.csv,1.248002326082930,,
charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0048,103,472,00472.csv,,,
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0048,104,473,00473.csv,1.2300895244599600,,
charge,[2010.       8.       5.       6.      44.       4.281],4,B0048,105,474,00474.csv,,,
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0048,106,475,00475.csv,1.2244197121500900,,
charge,[2010.       8.       5.      11.       4.      13.765],4,B0048,107,476,00476.csv,,,
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0048,108,477,00477.csv,1.2186682845116400,,
impedance,[2010.       8.       5.      15.      27.      47.125],24,B0048,109,478,00478.csv,,0.08258300471033100,0.25261163528965500
charge,[2010.       8.       5.      15.      59.      42.062],4,B0048,110,479,00479.csv,,,
impedance,[2010.       8.       5.      19.       5.      13.171],24,B0048,111,480,00480.csv,,0.07927683932526820,0.21954347872890400
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0048,112,481,00481.csv,1.2037865236033600,,
charge,[2010.       8.       5.      20.      54.      47.218],4,B0048,113,482,00482.csv,,,
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0048,114,483,00483.csv,1.1947642300832200,,
charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0048,115,484,00484.csv,,,
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0048,116,485,00485.csv,1.2052091893871500,,
charge,[2010.       8.       6.       5.      31.      48.156],4,B0048,117,486,00486.csv,,,
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0048,118,487,00487.csv,1.1955746593628500,,
charge,[2010.       8.       6.       9.      49.      49.937],4,B0048,119,488,00488.csv,,,
discharge,[2010    8    6   12   51   21],4,B0048,120,489,00489.csv,1.1888497102149900,,
impedance,[2010.       8.       6.      14.      11.      12.234],24,B0048,121,490,00490.csv,,0.08496523801764760,0.253135050345307
charge,[2010.       8.       6.      14.      43.       7.578],4,B0048,122,491,00491.csv,,,
impedance,[2010.       8.       6.      17.      48.      41.937],24,B0048,123,492,00492.csv,,0.08063966510575260,0.23649095641164200
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0048,124,493,00493.csv,1.1915605250807400,,
charge,[2010.       8.       6.      19.      36.      20.187],4,B0048,125,494,00494.csv,,,
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0048,126,495,00495.csv,1.1726587153109700,,
charge,[2010.      8.      6.     23.     53.     10.89],4,B0048,127,496,00496.csv,,,
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0048,128,497,00497.csv,1.1841133872494200,,
charge,[2010.       8.       7.       4.       9.      31.812],4,B0048,129,498,00498.csv,,,
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0048,130,499,00499.csv,1.1576825122317800,,
charge,[2010.       8.       7.       8.      25.      18.796],4,B0048,131,500,00500.csv,,,
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0048,132,501,00501.csv,0,,
impedance,[2010.       8.       7.      12.      32.      26.234],24,B0048,133,502,00502.csv,,0.08366506517993520,0.2432589808852620
charge,[2010.       8.       7.      13.       4.      21.953],4,B0048,134,503,00503.csv,,,
impedance,[2010.      8.      7.     16.      9.     53.89],24,B0048,135,504,00504.csv,,0.07906270763202050,0.23396617204350500
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0048,136,505,00505.csv,1.259355851168600,,
impedance,[2010.       8.      10.      17.       4.      18.343],24,B0048,137,506,00506.csv,,0.0841713933195508,0.25411938105230800
charge,[2010.       8.      10.      17.      36.      14.109],4,B0048,138,507,00507.csv,,,
impedance,[2010.       8.      10.      20.      41.      53.921],24,B0048,139,508,00508.csv,,0.08036912158201040,0.2302661311627610
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0048,140,509,00509.csv,1.265883375278030,,
charge,[2010.       8.      10.      22.      33.      31.875],4,B0048,141,510,00510.csv,,,
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0048,142,511,00511.csv,1.2472598673184100,,
charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0048,143,512,00512.csv,,,
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0048,144,513,00513.csv,1.232808747256220,,
charge,[2010.       8.      11.       7.      12.      27.125],4,B0048,145,514,00514.csv,,,
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0048,146,515,00515.csv,1.2319592783041900,,
charge,[2010.       8.      11.      11.      31.      14.703],4,B0048,147,516,00516.csv,,,
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0048,148,517,00517.csv,1.220785786262780,,
